meas,index,voice,loc,tick,sec,dur,rval,dot_cnt,sci_pitch,dmark,dlevel,status,d0,d1,bar,section,bpm,grace,pedal,dyn,even,tempo
,165,,,0,8.991612,,,,,,,176,64,47,,,,,,,,
,166,,,0,9.002028,,,,,,,176,64,52,,,,,,,,
,167,,,0,9.012444,,,,,,,176,64,58,,,,,,,,
,168,,,0,9.02286,,,,,,,176,64,62,,,,,,,,
,169,,,0,9.033276,,,,,,,176,64,66,,,,,,,,
,170,,,0,9.043692,,,,,,,176,64,68,,,,,,,,
,171,,,0,9.054108,,,,,,,176,64,71,,,,,,,,
,172,,,0,9.064524,,,,,,,176,64,74,,,,,,,,
,173,,,0,9.072336,,,,,,,176,64,75,,,,,,,,
,174,,,0,9.082752,,,,,,,176,64,78,,,,,,,,
,175,,,0,9.093168,,,,,,,176,64,79,,,,,,,,
,176,,,0,9.124416,,,,,,,176,64,82,,,,,,,,
,177,,,0,9.134832,,,,,,,176,64,83,,,,,,,,
,178,,,0,9.15306,,,,,,,176,64,86,,,,,,,,
,179,,,0,9.163476,,,,,,,176,64,87,,,,,,,,
302,180,3,9182,0,9.163476,,8.0,0,C#5,p,11,144,73,53,,,,g,,,e,
,181,,,0,9.171288,,,,,,,176,64,88,,,,,,,,
,182,,,0,9.181704,,,,,,,176,64,90,,,,,,,,
,183,,,0,9.19212,,,,,,,176,64,91,,,,,,,,
,184,,,0,9.207744,,,,,,,176,64,90,,,,,,,,
,185,,,0,9.212952,,,,,,,176,64,91,,,,,,,,
302,186,3,9184,0,9.249408,,8.0,0,C#4,p-,10,144,61,48,,,,g,,,e,
,187,,,0,9.254616,,,,,,,144,73,0,,,,,,,,
,188,,,0,9.301488,,,,,,,176,64,92,,,,,,,,
302,189,3,9185,0,9.304092,,8.0,0,A1,p-,10,144,33,44,,,,g,,,e,
,190,,,0,9.3093,,,,,,,144,61,0,,,,,,,,
,191,,,0,9.314508,,,,,,,176,64,94,,,,,,,,
,192,,,0,9.32232,,,,,,,176,64,95,,,,,,,,
,193,,,0,9.332736,,,,,,,176,64,94,,,,,,,,
,194,,,0,9.343152,,,,,,,176,64,95,,,,,,,,
,195,,,0,9.371796,,,,,,,176,64,98,,,,,,,,
,196,,,0,9.382212,,,,,,,144,33,0,,,,,,,,
,197,,,0,9.382212,,,,,,,176,64,99,,,,,,,,
302,198,3,9186,0,9.41346,,8.0,0,C#4,pp,8,144,61,58,,,,g,,,e,
302,199,3,9187,0,9.462936,153,8.0,1,A1,pp,8,144,33,65,,,,,,,E,
,200,,,0,9.522828,,,,,,,176,64,95,,,,,,,,
,201,,,0,9.522828,,,,,,,144,61,0,,,,,,,,
,202,,,0,9.533244,,,,,,,176,64,84,,,,,,,,
,203,,,0,9.54366,,,,,,,176,64,63,,,,,,,,
,204,,,0,9.554076,,,,,,,176,64,34,,,,,,,,
,205,,,0,9.561888,,,,,,,176,64,5,,,,,,,,
,206,,,0,9.572304,,,,,,,176,64,0,,,,,,,,
,207,,,0,9.572304,,,,,,,144,33,0,,,,,,,,
,208,,,0,9.606156,,,,,,,144,28,0,,,,,,,,
302,209,3,9187,0,9.624384,153,8.0,1,A1,pp,8,144,33,62,,,,,,,E,
302,210,3,9188,0,9.629592,128,8.0,1,F#2,pp,8,144,42,74,,,,,,,E,
302,211,3,9193,0,9.637404,128,8.0,0,C#4,ff,22,144,61,72,,,,,,d,,
,212,,,0,9.684276,,,,,,,176,64,8,,,,,,,,
,213,,,0,9.694692,,,,,,,176,64,19,,,,,,,,
,214,,,0,9.702504,,,,,,,176,64,26,,,,,,,,
,215,,,0,9.71292,,,,,,,176,64,34,,,,,,,,
,216,,,0,9.723336,,,,,,,176,64,46,,,,,,,,
,217,,,0,9.733752,,,,,,,176,64,62,,,,,,,,
,218,,,0,9.744168,,,,,,,176,64,80,,,,,,,,
,219,,,0,9.754584,,,,,,,176,64,98,,,,,,,,
,220,,,0,9.762396,,,,,,,176,64,111,,,,,,,,
,221,,,0,9.772812,,,,,,,176,64,109,,,,,,,,
,222,,,0,9.775416,,,,,,,144,61,0,,,,,,,,
,223,,,0,9.783228,,,,,,,176,64,107,,,,,,,,
,224,,,0,9.79104,,,,,,,144,33,0,,,,,,,,
,225,,,0,9.793644,,,,,,,176,64,106,,,,,,,,
,226,,,0,9.80406,,,,,,,176,64,107,,,,,,,,
,227,,,0,9.822288,,,,,,,144,42,0,,,,,,,,
,228,,,0,9.832704,,,,,,,176,64,106,,,,,,,,
,229,,,0,9.84312,,,,,,,176,64,107,,,,,,,,
,230,,,0,9.892596,,,,,,,176,64,106,,,,,,,,
,231,,,0,9.903012,,,,,,,176,64,107,,,,,,,,
,232,,,0,9.913428,,,,,,,176,64,106,,,,,,,,
,233,,,0,9.923844,,,,,,,176,64,107,,,,,,,,
,234,,,0,9.944676,,,,,,,176,64,106,,,,,,,,
,235,,,0,9.952488,,,,,,,176,64,107,,,,,,,,
,236,,,0,9.97332,,,,,,,176,64,106,,,,,,,,
,237,,,0,9.983736,,,,,,,176,64,107,,,,,,,,
,238,,,0,9.983736,,,,,,,176,67,125,,,,,,,,
302,239,3,9191,0,9.991548,103,8.0,0,A1,ff,22,144,33,92,,,,,,d,,
,240,,,0,9.994152,,,,,,,176,67,115,,,,,,,,
,241,,,0,10.004568,,,,,,,176,64,110,,,,,,,,
,242,,,0,10.004568,,,,,,,176,67,98,,,,,,,,
302,243,3,9193,0,10.004568,128,8.0,0,C#4,ff,22,144,61,97,,,,,,d,,
302,244,3,9192,0,10.007172,128,8.0,0,F#2,ff,22,144,42,98,,,,,,d,,
,245,,,0,10.01238,,,,,,,176,67,80,,,,,,,,
,246,,,0,10.022796,,,,,,,176,67,57,,,,,,,,
,247,,,0,10.033212,,,,,,,176,67,36,,,,,,,,
,248,,,0,10.043628,,,,,,,176,67,17,,,,,,,,
,249,,,0,10.054044,,,,,,,176,67,19,,,,,,,,
,250,,,0,10.06446,,,,,,,176,67,20,,,,,,,,
,251,,,0,10.072272,,,,,,,144,33,0,,,,,,,,
,252,,,0,10.072272,,,,,,,176,64,111,,,,,,,,
,253,,,0,10.093104,,,,,,,176,64,109,,,,,,,,
,254,,,0,10.095708,,,,,,,144,42,0,,,,,,,,
,255,,,0,10.098312,,,,,,,144,61,0,,,,,,,,
,256,,,0,10.10352,,,,,,,176,64,107,,,,,,,,
,257,,,0,10.113936,,,,,,,176,67,23,,,,,,,,
,258,,,0,10.124352,,,,,,,176,64,100,,,,,,,,
,259,,,0,10.124352,,,,,,,176,67,27,,,,,,,,
,260,,,0,10.134768,,,,,,,176,64,87,,,,,,,,
,261,,,0,10.134768,,,,,,,176,67,37,,,,,,,,
,262,,,0,10.14258,,,,,,,176,64,63,,,,,,,,
,263,,,0,10.145184,,,,,,,176,67,46,,,,,,,,
,264,,,0,10.152996,,,,,,,176,64,30,,,,,,,,
,265,,,0,10.1556,,,,,,,176,67,56,,,,,,,,
,266,,,0,10.163412,,,,,,,176,64,1,,,,,,,,
,267,,,0,10.163412,,,,,,,176,67,66,,,,,,,,
,268,,,0,10.173828,,,,,,,176,64,0,,,,,,,,
,269,,,0,10.173828,,,,,,,176,67,79,,,,,,,,
,270,,,0,10.184244,,,,,,,176,67,89,,,,,,,,
,271,,,0,10.19466,,,,,,,176,67,98,,,,,,,,
,272,,,0,10.202472,,,,,,,176,67,106,,,,,,,,
,273,,,0,10.212888,,,,,,,176,67,114,,,,,,,,
,274,,,0,10.223304,,,,,,,176,67,125,,,,,,,,
,275,,,0,10.23372,,,,,,,176,67,127,,,,,,,,
,276,,,0,10.405584,,,,,,,176,64,8,,,,,,,,
,277,,,0,10.413396,,,,,,,176,64,17,,,,,,,,
,278,,,0,10.421208,,,,,,,176,64,19,,,,,,,,
302,279,1,9194,0,10.423812,,8.0,0,D#5,p,11,144,75,54,,,,g,,d,,
,280,,,0,10.434228,,,,,,,176,64,26,,,,,,,,
,281,,,0,10.44204,,,,,,,176,64,31,,,,,,,,
,282,,,0,10.452456,,,,,,,176,64,37,,,,,,,,
302,283,1,9195,0,10.457664,512,2.0,0,B4,p,11,144,71,48,,,,,,d,,
,284,,,0,10.462872,,,,,,,176,64,45,,,,,,,,
,285,,,0,10.473288,,,,,,,176,64,53,,,,,,,,
302,286,3,9196,0,10.483704,28,32.0,0,C#4,ppp,5,144,61,52,,,,,,d,E,
,287,,,0,10.486308,,,,,,,176,64,66,,,,,,,,
302,288,3,9198,0,10.488912,28,32.0,0,A1,ppp,5,144,33,50,,,,,,,e,
,289,,,0,10.49412,,,,,,,176,64,79,,,,,,,,
,290,,,0,10.504536,,,,,,,176,64,91,,,,,,,,
,291,,,0,10.512348,,,,,,,176,64,99,,,,,,,,
,292,,,0,10.52016,,,,,,,144,73,4,,,,,,,,
,293,,,0,10.522764,,,,,,,176,64,104,,,,,,,,
,294,,,0,10.53318,,,,,,,176,64,103,,,,,,,,
